,title,author
0,As It Was,Harry Styles
1,First Class,Jack Harlow
2,Wait For U,Future Featuring Drake & Tems
3,About Damn Time,Lizzo
4,Heat Waves,Glass Animals
5,Big Energy,Latto
6,Me Porto Bonito,Bad Bunny & Chencho Corleone
7,Running Up That Hill (A Deal With God),Kate Bush
8,Late Night Talking,Harry Styles
9,Stay,The Kid LAROI & Justin Bieber
10,Titi Me Pregunto,Bad Bunny
11,Enemy,Imagine Dragons X JID
12,Wasted On You,Morgan Wallen
13,Moscow Mule,Bad Bunny
14,Ghost,Justin Bieber
15,Boyfriend,Dove Cameron
16,Woman,Doja Cat
17,Bad Habits,Ed Sheeran
18,Numb Little Bug,Em Beihold
19,Super Gremlin,Kodak Black
20,You Proof,Morgan Wallen
21,True Love,Kanye West & XXXTENTACION
22,Take My Name,Parmalee
23,Shivers,Ed Sheeran
24,Sweetest Pie,Megan Thee Stallion & Dua Lipa
25,Party,Bad Bunny & Rauw Alejandro
26,Bam Bam,Camila Cabello Featuring Ed Sheeran
27,Thats What I Want,Lil Nas X
28,Cold Heart (PNAU Remix),Elton John & Dua Lipa
29,Despues de La Playa,Bad Bunny
30,AA,Walker Hayes
31,Trouble With A Heartbreak,Jason Aldean
32,Puffin On Zootiez,Future
33,Provenza,Karol G
34,MAMIII,Becky G X Karol G
35,Ojitos Lindos,Bad Bunny & Bomba Estereo
36,Cooped Up,Post Malone Featuring Roddy Ricch
37,'Til You Can't,Cody Johnson
38,N95,Kendrick Lamar
39,Something In The Orange,Zach Bryan
40,Music For A Sushi Restaurant,Harry Styles
41,Matilda,Harry Styles
42,Thousand Miles,The Kid LAROI
43,She's All I Wanna Be,Tate McRae
44,In A Minute,Lil Baby
45,Daylight,Harry Styles
46,Sleazy Flow,SleazyWorld Go Featuring Lil Baby
47,Damn Strait,Scotty McCreery
48,Get Into It (Yuh),Doja Cat
49,Efecto,Bad Bunny
50,Silent Hill,Kendrick Lamar & Kodak Black
51,Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer"
52,Hold My Hand,Lady Gaga
53,2step,Ed Sheeran Featuring Lil Baby
54,Fall In Love,Bailey Zimmerman
55,To The Moon!,JNR CHOI & Sam Tompkins
56,Slow Down Summer,Thomas Rhett
57,Little Freak,Harry Styles
58,See Wat I'm Sayin,Moneybagg Yo
59,Die Young,Sleepy Hallow Featuring 347aidan
60,Grapejuice,Harry Styles
61,Un Ratito,Bad Bunny
62,Tarot,Bad Bunny & Jhay Cortez
63,When You're Gone,Shawn Mendes
64,Satellite,Harry Styles
65,Like I Love Country Music,Kane Brown
66,What Happened To Virgil,Lil Durk Featuring Gunna
67,Never Say Never,Cole Swindell / Lainey Wilson
68,Thought You Should Know,Morgan Wallen
69,If I Was A Cowboy,Miranda Lambert
70,Potion,"Calvin Harris, Dua Lipa & Young Thug"
71,Hotel Lobby (Unc And Phew),Quavo & Takeoff
72,Right On,Lil Baby
73,Freaky Deaky,Tyga X Doja Cat
74,Cinema,Harry Styles
75,Keep Driving,Harry Styles
76,Daydreaming,Harry Styles
77,Yo No Soy Celoso,Bad Bunny
78,Flower Shops,ERNEST Featuring Morgan Wallen
79,She Likes It,Russell Dickerson & Jake Scott
80,Love Of My Life,Harry Styles
81,Ghost Story,Carrie Underwood
82,Rich Spirit,Kendrick Lamar
83,La Corriente,Bad Bunny & Tony Dize
84,Neverita,Bad Bunny
85,She Had Me At Heads Carolina,Cole Swindell
86,Sunroof,Nicky Youre & dazy
87,Boyfriends,Harry Styles
88,Circles Around This Town,Maren Morris
89,Dua Lipa,Jack Harlow
90,F.N.F. (Let's Go),Hitkidd & Glorilla
91,Handsomer,Russ Featuring Ktlyn
92,I'm On One,Future Featuring Drake
93,DFMU,Ella Mai
94,Andrea,Bad Bunny & Buscabulla
95,Love You Better,Future
96,Wild Hearts,Keith Urban
97,Last Night Lonely,Jon Pardi
98,7500 OBO,Tim McGraw
99,Until I Found You,Stephen Sanchez
